lineID,time,tag,url
Ubc2d78f9e714ca16172ef2e74326aa16,2019-09-02 06:27:56.219939, 血管 老化 心肌梗塞 腦中風,https://www.everydayhealth.com.tw//article/14470
Ubc2d78f9e714ca16172ef2e74326aa16,2019-09-02 06:30:38.424397, 腰 腰痛 腰痠背痛 椎間盤突出 脊椎,https://www.everydayhealth.com.tw//article/17513
Ubc2d78f9e714ca16172ef2e74326aa16,2019-09-02 06:36:03.280138, 生活習慣 運動 體脂肪 單腳站 減重,https://www.everydayhealth.com.tw//article/58
Ubc2d78f9e714ca16172ef2e74326aa16,2019-09-02 06:37:22.157231, 女性 心臟 更年期 穴道 穴道按摩 經絡穴位按摩一點通,https://www.everydayhealth.com.tw//article/12648
Ubc2d78f9e714ca16172ef2e74326aa16,2019-09-02 06:39:27.035951, 長壽 泡澡 促進血液循環 老年照護,https://www.everydayhealth.com.tw//article/20922
U83dc8574c8088af5d3160ce9570720d2,2019-09-02 09:00:28.595639, 五十肩 伸展操 肩胛骨 肩膀酸痛 肩頸僵硬,https://www.everydayhealth.com.tw//article/10535
U83dc8574c8088af5d3160ce9570720d2,2019-09-02 09:00:55.450510, 感冒 營養 生薑 茶 薑 雞蛋 食補 養生茶飲,https://www.everydayhealth.com.tw//article/11304
U38aa5aff206035fa1299abb1627db562,2019-09-07 08:45:01.245714, 壓力 霸凌 心血管 免疫力 代謝,https://www.everydayhealth.com.tw//article/17380
U52aff2b1837087007c2426f323ee43fa,2019-09-07 08:45:07.552283, 睡姿 睡眠品質 減重 睡眠,https://www.everydayhealth.com.tw//article/5620
U52aff2b1837087007c2426f323ee43fa,2019-09-07 08:45:15.762099, 肌肉鍛鍊 高血糖 降血糖 有氧運動,https://www.everydayhealth.com.tw//article/16503
U52aff2b1837087007c2426f323ee43fa,2019-09-07 08:45:19.587622, 穴道 穴道按摩 眼睛 眼睛疲勞 眼袋 護眼 黑眼圈,https://www.everydayhealth.com.tw//article/5496
U52aff2b1837087007c2426f323ee43fa,2019-09-07 08:45:24.510419, 蔬菜 多吃水果 水果 吃飯順序 瘦身 減重,https://www.everydayhealth.com.tw//article/5588
U52aff2b1837087007c2426f323ee43fa,2019-09-07 08:45:30.063595, 過食 失智症 肥胖 減重,https://www.everydayhealth.com.tw//article/2423
U52aff2b1837087007c2426f323ee43fa,2019-09-07 08:45:49.014727, 血管 老化 心血管 養腎 體操,https://www.everydayhealth.com.tw//article/18550
U38aa5aff206035fa1299abb1627db562,2019-09-07 08:45:50.558609, 懶人運動 規律運動 運動 運動計畫 運動障礙症候群 減重,https://www.everydayhealth.com.tw//article/4831
U52aff2b1837087007c2426f323ee43fa,2019-09-07 08:45:52.987785, 乳製品 偏頭痛 加工食品 女性荷爾蒙 巧克力 柑橘類水果 橄欖油 紅酒 血清素,https://www.everydayhealth.com.tw//article/11132
U52aff2b1837087007c2426f323ee43fa,2019-09-07 08:46:04.722901, 預防失智 大腦 學習 記憶力 失智症,https://www.everydayhealth.com.tw//article/21283
U38aa5aff206035fa1299abb1627db562,2019-09-07 08:46:12.345927, 大腦 手指 體操 老人 老人痴呆 失智症 記憶力 血液循環,https://www.everydayhealth.com.tw//article/10160
U38aa5aff206035fa1299abb1627db562,2019-09-07 08:46:45.574065, 生薑 薑 薑茶 糖尿病 耳鳴 白內障,https://www.everydayhealth.com.tw//article/20089
U52aff2b1837087007c2426f323ee43fa,2019-09-07 08:47:12.563436, 芝麻 牛奶 食材 食補 鈣,https://www.everydayhealth.com.tw//article/9247
U52aff2b1837087007c2426f323ee43fa,2019-09-07 08:47:14.238190, 骨質疏鬆 膠原蛋白 血液循環 皺紋 皮膚鬆弛 新陳代謝 軟骨 動脈硬化,https://www.everydayhealth.com.tw//article/9859
U52aff2b1837087007c2426f323ee43fa,2019-09-07 08:47:35.774625, 橄欖油 手腳冰冷 貧血,https://www.everydayhealth.com.tw//article/22159
Ubc2d78f9e714ca16172ef2e74326aa16,2019-09-07 08:47:37.977252, 脖子 肩頸僵硬 跳繩 頭痛 頸椎,https://www.everydayhealth.com.tw//article/10917
U38aa5aff206035fa1299abb1627db562,2019-09-07 08:47:40.029406, 肩胛骨 促進血液循環 肩膀酸痛,https://www.everydayhealth.com.tw//article/21308
U2ab453d4be9065ca806d3880d2491b65,2019-09-07 08:47:45.975176, 失眠 睡眠品質 賴床 減重,https://www.everydayhealth.com.tw//article/1987
U52aff2b1837087007c2426f323ee43fa,2019-09-07 08:47:46.178977, 青花菜 花椰菜 白蘿蔔泥 蘿蔔硫素 動脈硬化 膽固醇,https://www.everydayhealth.com.tw//article/20749
